甜蜜蜜,"
                            1996",10.0,466689
侧耳倾听,"
                            1995",10.0,410893
幸福终点站,"
                            2004",10.0,497854
萤火之森,"
                            2011",10.0,468398
驯龙高手,"
                            2010",10.0,679636
时空恋旅人,"
                            2013",10.0,565227
玛丽和马克思,"
                            2009",10.0,390428
怪兽电力公司,"
                            2001",10.0,590688
大鱼,"
                            2003",10.0,513806
教父3,"
                            1990",10.0,323175
告白,"
                            2010",10.0,616288
一个叫欧维的男人决定去死,"
                            2015",10.0,396744
傲慢与偏见,"
                            2005",10.0,703341
神偷奶爸,"
                            2010",10.0,858108
阳光姐妹淘,"
                            2011",10.0,547736
玩具总动员3,"
                            2010",10.0,454524
射雕英雄传之东成西就,"
                            1993",10.0,572519
釜山行,"
                            2016",10.0,1066257
恐怖直播,"
                            2013",10.0,583338
寄生虫,"
                            2019",10.0,1226739
被解救的姜戈,"
                            2012",10.0,541766
未麻的部屋,"
                            1997",10.0,273331
哪吒闹海,"
                            1979",10.0,227747
血战钢锯岭,"
                            2016",10.0,711038
头号玩家,"
                            2018",10.0,1227147
哈利·波特与火焰杯,"
                            2005",10.0,553007
我是山姆,"
                            2001",10.0,292446
七武士,"
                            1954",10.0,173031
新世界,"
                            2013",10.0,346492
喜宴,"
                            1993",10.0,309583
模仿游戏,"
                            2014",10.0,561281
黑客帝国3：矩阵革命,"
                            2003",10.0,403209
电锯惊魂,"
                            2004",10.0,469676
花样年华,"
                            2000",10.0,525215
卢旺达饭店,"
                            2004",10.0,289133
三块广告牌,"
                            2017",10.0,741302
头脑特工队,"
                            2015",10.0,536862
你的名字。,"
                            2016",10.0,1240400
疯狂原始人,"
                            2013",10.0,762911
上帝之城,"
                            2002",10.0,273823
达拉斯买家俱乐部,"
                            2013",10.0,404535
谍影重重3,"
                            2007",10.0,378342
风之谷,"
                            1984",10.0,325345
英雄本色,"
                            1986",10.0,471333
心迷宫,"
                            2014",10.0,454310
纵横四海,"
                            1991",10.0,371676
惊魂记,"
                            1960",10.0,241871
九品芝麻官,"
                            1994",10.0,572840
岁月神偷,"
                            2010",10.0,532421
记忆碎片,"
                            2000",10.0,546596
海街日记,"
                            2015",10.0,388804
忠犬八公物语,"
                            1987",10.0,171890
荒蛮故事,"
                            2014",10.0,392997
绿里奇迹,"
                            1999",10.0,281801
爱在午夜降临前,"
                            2013",10.0,336136
爆裂鼓手,"
                            2014",10.0,512399
贫民窟的百万富翁,"
                            2008",10.0,679023
真爱至上,"
                            2003",10.0,660042
小偷家族,"
                            2018",10.0,741310
东邪西毒,"
                            1994",10.0,523425
无敌破坏王,"
                            2012",10.0,477220
色，戒,"
                            2007",10.0,657020
疯狂的石头,"
                            2006",10.0,726939
冰川时代,"
                            2002",10.0,553103
黑天鹅,"
                            2010",10.0,725007
你看起来好像很好吃,"
                            2010",10.0,299217
恐怖游轮,"
                            2009",10.0,740587
雨中曲,"
                            1952",10.0,190369
雨人,"
                            1988",10.0,365977
恋恋笔记本,"
                            2004",10.0,594835
2001太空漫游,"
                            1968",10.0,274065
魔女宅急便,"
                            1989",10.0,408157
萤火虫之墓,"
                            1988",10.0,374285
城市之光,"
                            1931",10.0,125217
可可西里,"
                            2004",10.0,267544
遗愿清单,"
                            2007",10.0,382445
大佛普拉斯,"
                            2017",10.0,385536
虎口脱险,"
                            1966",10.0,222784
人工智能,"
                            2001",10.0,395559
初恋这件小事,"
                            2010",10.0,904145
