头号玩家,2018,10.0,1153538
喜宴,1993,10.0,285502
电锯惊魂,2004,10.0,434758
风之谷,1984,10.0,310623
上帝之城,2002,10.0,259397
新世界,2013,10.0,309661
卢旺达饭店,2004,10.0,263988
英雄本色,1986,10.0,435813
三块广告牌,2017,10.0,695592
疯狂原始人,2013,10.0,722621
谍影重重3,2007,10.0,356814
模仿游戏,2014,10.0,515919
花样年华,2000,10.0,484900
黑客帝国3：矩阵革命,2003,10.0,360859
纵横四海,1991,10.0,344861
达拉斯买家俱乐部,2013,10.0,376535
寄生虫,2019,10.0,1145537
头脑特工队,2015,10.0,497254
岁月神偷,2010,10.0,508656
心迷宫,2014,10.0,417757
你的名字。,2016,10.0,1157600
记忆碎片,2000,10.0,515882
忠犬八公物语,1987,10.0,160333
海街日记,2015,10.0,357370
荒蛮故事,2014,10.0,362146
惊魂记,1960,10.0,216140
哈利·波特与火焰杯,2005,10.0,478124
爆裂鼓手,2014,10.0,474711
真爱至上,2003,10.0,608457
贫民窟的百万富翁,2008,10.0,639103
东邪西毒,1994,10.0,494604
萤火虫之墓,1988,10.0,356652
小偷家族,2018,10.0,696776
绿里奇迹,1999,10.0,255132
黑天鹅,2010,10.0,694863
无敌破坏王,2012,10.0,445023
九品芝麻官,1994,10.0,514359
你看起来好像很好吃,2010,10.0,284260
爱在午夜降临前,2013,10.0,299650
冰川时代,2002,10.0,522662
雨人,1988,10.0,347337
疯狂的石头,2006,10.0,675794
恋恋笔记本,2004,10.0,551035
恐怖游轮,2009,10.0,667646
雨中曲,1952,10.0,174609
魔女宅急便,1989,10.0,384837
色，戒,2007,10.0,592807
2001太空漫游,1968,10.0,249364
虎口脱险,1966,10.0,203003
奇迹男孩,2017,10.0,480138
海边的曼彻斯特,2016,10.0,406536
城市之光,1931,10.0,113696
可可西里,2004,10.0,249140
人工智能,2001,10.0,369141
初恋这件小事,2010,10.0,858547
罗生门,1950,10.0,257418
房间,2015,10.0,324982
终结者2：审判日,1991,10.0,291552
大佛普拉斯,2017,10.0,349631
二十二,2015,10.0,245498
遗愿清单,2007,10.0,340768
牯岭街少年杀人事件,1991,10.0,221481
源代码,2011,10.0,691612
波西米亚狂想曲,2018,10.0,487698
魂断蓝桥,1940,10.0,232492
青蛇,1993,10.0,431953
新龙门客栈,1992,10.0,370177
疯狂的麦克斯4：狂暴之路,2015,10.0,437989
无耻混蛋,2009,10.0,398586
步履不停,2008,10.0,226674
东京教父,2003,10.0,156075
血钻,2006,10.0,308479
无间道2,2003,10.0,357431
燃情岁月,1994,10.0,245435
海洋,2009,10.0,141553
彗星来的那一夜,2013,10.0,443060
谍影重重2,2004,10.0,299175
战争之王,2005,10.0,297911
穿越时空的少女,2006,10.0,330798
阿飞正传,1990,10.0,419522
千钧一发,1997,10.0,224115
地球上的星星,2007,10.0,175726
谍影重重,2002,10.0,357722
完美陌生人,2016,10.0,457133
黑客帝国2：重装上阵,2003,10.0,320367
东京物语,1953,10.0,112918
崖上的波妞,2008,10.0,390836
香水,2006,10.0,471315
我爱你,2011,10.0,137969
再次出发之纽约遇见你,2013,10.0,357631
茶馆,1982,10.0,74210
朗读者,2008,10.0,401817
聚焦,2015,10.0,237568
驴得水,2016,10.0,778141
浪潮,2008,10.0,231600
猜火车,1996,10.0,367663
爱乐之城,2016,10.0,692720
小萝莉的猴神大叔,2015,10.0,419028
背靠背，脸对脸,1994,10.0,75681
